2.000000000000000000e+01,3.649645169315391513e+01,1.824822584657695757e+01
2.100000000000000000e+01,3.480698591402850184e+01,1.740349295701425092e+01
2.200000000000000000e+01,3.326701475531691443e+01,1.663350737765845722e+01
2.300000000000000000e+01,3.185753656551699819e+01,1.592876828275849910e+01
2.400000000000000000e+01,3.056263909589925376e+01,1.528131954794962688e+01
2.500000000000000000e+01,2.936889615720043523e+01,1.468444807860021761e+01
2.600000000000000000e+01,2.826490035670776635e+01,1.413245017835388317e+01
2.700000000000000000e+01,2.724089740554477146e+01,1.362044870277238573e+01
2.800000000000000000e+01,2.628849713837225011e+01,1.314424856918612505e+01
2.900000000000000000e+01,2.540044310550264939e+01,1.270022155275132469e+01
3.000000000000000000e+01,2.457042733954385838e+01,1.228521366977192919e+01
3.100000000000000000e+01,2.379294029030452151e+01,1.189647014515226076e+01
3.200000000000000000e+01,2.306314837704074705e+01,1.153157418852037353e+01
3.300000000000000000e+01,2.237679340483590451e+01,1.118839670241795226e+01
3.400000000000000000e+01,2.173010942203600493e+01,1.086505471101800246e+01
3.500000000000000000e+01,2.111975358954709847e+01,1.055987679477354924e+01
3.600000000000000000e+01,2.054274838230336897e+01,1.027137419115168449e+01
3.700000000000000000e+01,1.999643301332577039e+01,9.998216506662885195e+00
3.800000000000000000e+01,1.947842240798311408e+01,9.739211203991557042e+00
3.900000000000000000e+01,1.898657239390341545e+01,9.493286196951707723e+00
4.000000000000000000e+01,1.851895003493400793e+01,9.259475017467003966e+00
4.100000000000000000e+01,1.807380824361450422e+01,9.036904121807252110e+00
4.200000000000000000e+01,1.764956396915945547e+01,8.824781984579727734e+00
4.300000000000000000e+01,1.724477938693222967e+01,8.622389693466114835e+00
4.400000000000000000e+01,1.685814561834888181e+01,8.429072809174440906e+00
4.500000000000000000e+01,1.648846859278895138e+01,8.244234296394475692e+00
4.600000000000000000e+01,1.613465672976889920e+01,8.067328364884449599e+00
4.700000000000000000e+01,1.579571017370560426e+01,7.897855086852802131e+00
4.800000000000000000e+01,1.547071135765690286e+01,7.735355678828451431e+00
4.900000000000000000e+01,1.515881670849071128e+01,7.579408354245355639e+00
5.000000000000000000e+01,1.485924933558503369e+01,7.429624667792516846e+00
